1_shock,2_shock,1_shock_probability,2_shock_probability,first_stage_set,block,trial_number
1,0,0.4,0.4,1,0,0
1,0,0.3443271174105982,0.2726152710620975,1,0,1
1,0,0.38097493114854497,0.13602015273962492,0,0,2
1,0,0.4475104689442816,0.1599351334368584,1,0,3
1,0,0.48457847540592586,0.29519972128154714,0,0,4
1,0,0.6072262482565915,0.19420033782962864,0,0,5
1,0,0.6018249443830901,0.19403753929570428,1,0,6
1,0,0.7282096737603678,0.18921938557700996,1,0,7
1,0,0.7282096737603678,0.24322316368316857,0,0,8
1,0,0.7102415911880186,0.23751002804368626,1,0,9
1,0,0.6850874036515228,0.019609585851988798,0,0,10
1,0,0.7453500710957267,0.019609585851988798,1,0,11
1,0,0.727041059509552,0.019609585851988798,0,0,12
1,0,0.727041059509552,0.0557479393284278,1,0,13
1,0,0.7109318057304904,0.0557479393284278,1,0,14
